player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
100400,Hubertus,Hoyt,R,19551103.0,USA,,
100401,Sean,Sorensen,R,19551112.0,IRL,,Q7441447
100402,Francisco,Gonzalez,R,19551119.0,PAR,193.0,Q281439
100403,Rolf,Gehring,R,19551125.0,GER,185.0,Q73896
100404,David,Sherbeck,R,19551202.0,USA,,Q17442289
100405,Fernando,Maynetto,R,19551202.0,PER,,Q5444825
100406,Greg,Halder,R,19551205.0,CAN,188.0,
100407,Dale,Collings,R,19551216.0,AUS,,Q3012292
100408,Gary,Plock,R,19551221.0,USA,175.0,
100409,Randy,Crawford,R,19551222.0,USA,188.0,
100410,Tim,Garcia,R,19551228.0,USA,,Q56702380
100411,Pavel,Slozil,R,19551229.0,CZE,173.0,Q1445074
100412,Bruce,Nichols,R,19551231.0,USA,,Q4978078
100413,Ulrich,Marten,R,19560101.0,GER,,Q7879844
100414,Gunther,Gnettner,R,19560112.0,GER,,
100415,Michael,Grant,R,19560203.0,USA,178.0,Q96392800
100416,Bill,Maze,R,19560209.0,USA,,Q4910058
100417,Hans,Gildemeister,R,19560209.0,CHI,183.0,Q630148
100418,Geoff,Martinez,R,19560213.0,USA,,
100419,Todd,Lundy,R,19560217.0,USA,,
100420,Hans,Ritschard,R,19560225.0,SUI,,
100421,Jan,Norback,R,19560306.0,SWE,,Q18346977
100422,Bruce,Manson,L,19560320.0,USA,173.0,Q2926443
100423,Jochen,Hierl,R,19560321.0,GER,,
100424,Warren,Eber,R,19560328.0,USA,,
100425,Junie,Chatman,R,19560329.0,USA,,
100426,Hans Peter,Kandler,R,19560402.0,AUT,185.0,Q29995040
100427,Ferrante,Rocchi,L,19560411.0,ITA,180.0,Q55314859
100428,Gene,Mayer,R,19560411.0,USA,183.0,Q2760368
100429,Miguel,Mir,R,19560418.0,ESP,,Q6844679
100430,David,Carter,R,19560421.0,AUS,183.0,Q5232213
100431,Mansour,Bahrami,R,19560426.0,IRI,178.0,Q564631
100432,Robert,Bettauer,R,19560502.0,CAN,175.0,
100433,Fritz,Don,R,19560513.0,NED,,
100434,Tomas,Smid,R,19560520.0,CZE,190.0,Q957327
100435,Regis,Brunet,R,19560531.0,FRA,183.0,
100436,Nick,Saviano,L,19560605.0,USA,180.0,Q11738414
100437,Bjorn,Borg,R,19560606.0,SWE,180.0,Q104506
100438,Carlos,Gattiker,R,19560606.0,ARG,175.0,Q5042117
100439,Mike,Barr,R,19560627.0,USA,,Q84893874
100440,Eddie,Edwards,R,19560703.0,RSA,190.0,Q5336001
100441,Mark,Darby,R,19560703.0,USA,185.0,
100442,Gianni,Marchetti,R,19560708.0,ITA,,Q55281100
100443,Christophe,Freyss,L,19560830.0,FRA,183.0,Q2966243
100444,Werner,Zirngibl,R,19560904.0,GER,,Q215117
100445,Steve,Denton,R,19560905.0,USA,188.0,Q53408
100446,John,Sadri,R,19560919.0,USA,188.0,Q3106867
100447,Juan,Nunez,R,19560923.0,CHI,190.0,Q6300611
100448,Bruce,Foxworth,R,19560925.0,USA,180.0,Q30019877
100449,Stanislav,Birner,R,19561011.0,CZE,170.0,Q3496726
100450,Leo,Palin,R,19561020.0,FIN,178.0,Q13546
100451,Tony,Graham,R,19561029.0,USA,,Q7822469
100452,Bill,Scanlon,R,19561113.0,USA,185.0,Q2760380
100453,Jose Luis,Damiani,R,19561121.0,URU,185.0,Q6292750
100454,Mehl,Ampon,R,19561130.0,USA,,
100455,Tony,Lloyd,R,19561203.0,GBR,,Q3531809
100456,Ferdi,Taygan,R,19561205.0,USA,173.0,Q760713
100457,Carlos,Soares,R,19561213.0,BRA,,
100458,Pedro,Gonzalez,R,19561218.0,PUR,,
100459,Tracy,Delatte,R,19561222.0,USA,178.0,Q7831721
100460,Jose,Lopez Maeso,R,19561224.0,ESP,173.0,Q605230
100461,Billy,Martin,R,19561225.0,USA,178.0,Q2903676
100462,Jeff,Etterbeek,R,19561231.0,USA,,
100463,Ben,Mckown,R,19570111.0,USA,,
100464,Warren,Maher,R,19570115.0,AUS,,Q7970374
100465,Mike,Shore,R,19570120.0,USA,,Q87471822
100466,Maurice,Hunter,R,19570127.0,USA,,
100467,Mark,Turpin,R,19570204.0,USA,183.0,
100468,Dominique,Bedel,R,19570220.0,FRA,185.0,Q3034986
100469,Ashok,Amritraj,R,19570222.0,IND,,
100470,Juan Carlos,Andrade,R,19570222.0,ESP,,
100471,Mark,Vines,L,19570223.0,USA,170.0,Q3294272
100472,Craig,Wittus,R,19570224.0,USA,180.0,Q5181609
100473,Glenn,Petrovic,R,19570303.0,USA,,
100474,Chris,Lewis,R,19570309.0,NZL,180.0,
100475,Matt,Mitchell,R,19570316.0,USA,180.0,Q1909253
100476,Nigel,Sears,R,19570404.0,GBR,,Q16189495
100477,Gianni,Ocleppo,R,19570406.0,ITA,183.0,Q464773
100478,Pascal,Deniau,R,19570407.0,FRA,185.0,
100479,Reinhart,Probst,R,19570417.0,GER,,Q24263724
100480,Josef,Brabenec,R,19570424.0,CAN,,Q98953023
100481,Roberto,Vizcaino,R,19570425.0,ESP,178.0,Q7351942
100482,Jochen,Settelmeyer,R,19570507.0,GER,,
100483,Christophe,Casa,R,19570530.0,FRA,178.0,Q2966139
100484,Pem,Guerry,R,19570606.0,USA,,
